Date,Price,Date,Open,High,Low,Close Price,Vol.,Change %,Absolute Value,volatility (in $),Daily volatilit ( in %),,,,Highest Price Ever,Lowest Price Ever,Standard Deviation,Highest Price Movement,Lowest Price Movement,Average daily Volatility ,Highest Price (prevision),Lowest Price (prevision)
02/14/2023,"4,136.13",02/14/2023,"4,126.70","4,159.77","4,095.01","4,136.13",,-0.03%,0%,64.76,1.57%,,,,,,,,,,,
02/13/2023,"4,137.29",02/13/2023,"4,096.62","4,138.90","4,092.67","4,137.29",,1.14%,1%,46.23,1.13%,,,,,,,,,,,
02-10-2023,"4,090.46",02-10-2023,"4,068.92","4,094.36","4,060.79","4,090.46",,0.22%,0%,33.57,0.83%,,,,,,,,,,,
02-09-2023,"4,081.50",02-09-2023,"4,144.25","4,156.23","4,069.67","4,081.50",,-0.88%,1%,86.56,2.09%,,,,,,,,,,,
02-08-2023,"4,117.86",02-08-2023,"4,153.47","4,156.85","4,111.67","4,117.86",,-1.11%,1%,45.18,1.09%,,,,,,,,,,,
02-07-2023,"4,164.00",02-07-2023,"4,105.35","4,176.54","4,088.39","4,164.00",,1.29%,1%,88.15,2.15%,,,,,,,,,,,
02-06-2023,"4,111.08",02-06-2023,"4,119.57","4,124.63","4,093.38","4,111.08",,-0.61%,1%,31.25,0.76%,,,,,,,,,,,
02-03-2023,"4,136.48",02-03-2023,"4,136.69","4,182.36","4,123.36","4,136.48",,-1.04%,1%,59,1.43%,,,,,,,,,,,
02-02-2023,"4,179.76",02-02-2023,"4,158.68","4,195.44","4,141.88","4,179.76",,1.47%,1%,53.56,1.29%,,,,,,,,,,,
02-01-2023,"4,119.21",02-01-2023,"4,070.07","4,148.95","4,037.20","4,119.21",,1.05%,1%,111.75,2.75%,,,,,,,,,,,
01/31/2023,"4,076.60",01/31/2023,"4,020.85","4,077.16","4,020.44","4,076.60",,1.46%,1%,56.72,1.41%,,,,,,,,,,,
01/30/2023,"4,017.77",01/30/2023,"4,049.27","4,063.85","4,015.55","4,017.77",,-1.30%,1%,48.3,1.19%,,,,,,,,,,,
01/27/2023,"4,070.56",01/27/2023,"4,053.72","4,094.21","4,048.70","4,070.56",,0.25%,0%,45.51,1.12%,,,,,,,,,,,
01/26/2023,"4,060.43",01/26/2023,"4,036.08","4,061.57","4,013.29","4,060.43",,1.10%,1%,48.28,1.20%,,,,,,,,,,,
01/25/2023,"4,016.22",01/25/2023,"3,982.71","4,019.55","3,949.06","4,016.22",,-0.02%,0%,70.49,1.77%,,,,,,,,,,,
01/24/2023,"4,016.95",01/24/2023,"4,001.74","4,023.92","3,989.79","4,016.95",,-0.07%,0%,34.13,0.85%,,,,,,,,,,,
01/23/2023,"4,019.81",01/23/2023,"3,978.14","4,039.31","3,971.64","4,019.81",,1.19%,1%,67.67,1.70%,,,,,,,,,,,
01/20/2023,"3,972.61",01/20/2023,"3,909.04","3,972.96","3,897.86","3,972.61",,1.89%,2%,75.1,1.92%,,,,,,,,,,,
01/19/2023,"3,898.85",01/19/2023,"3,911.84","3,922.94","3,885.54","3,898.85",,-0.76%,1%,37.4,0.96%,,,,,,,,,,,
01/18/2023,"3,928.86",01/18/2023,"4,002.25","4,014.16","3,926.59","3,928.86",,-1.56%,2%,87.57,2.19%,,,,,,,,,,,
01/17/2023,"3,990.97",01/17/2023,"3,999.28","4,015.39","3,984.57","3,990.97",,-0.20%,0%,30.82,0.77%,,,,,,,,,,,
01/13/2023,"3,999.09",01/13/2023,"3,960.60","4,003.95","3,947.67","3,999.09",,0.40%,0%,56.28,1.42%,,,,,,,,,,,
01-12-2023,"3,983.17",01-12-2023,"3,977.57","3,997.76","3,937.56","3,983.17",,0.34%,0%,60.2,1.51%,,,,,,,,,,,
01-11-2023,"3,969.61",01-11-2023,"3,932.35","3,970.07","3,928.54","3,969.61",,1.28%,1%,41.53,1.06%,,,,,,,,,,,
01-10-2023,"3,919.25",01-10-2023,"3,888.57","3,919.83","3,877.29","3,919.25",,0.70%,1%,42.54,1.09%,,,,,,,,,,,
01-09-2023,"3,892.09",01-09-2023,"3,910.82","3,950.57","3,890.42","3,892.09",,-0.08%,0%,60.15,1.54%,,,,,,,,,,,
01-06-2023,"3,895.08",01-06-2023,"3,823.37","3,906.19","3,809.56","3,895.08",,2.28%,2%,96.63,2.53%,,,,,,,,,,,
01-05-2023,"3,808.10",01-05-2023,"3,839.74","3,839.74","3,802.42","3,808.10",,-1.16%,1%,37.32,0.97%,,,,,,,,,,,
01-04-2023,"3,852.97",01-04-2023,"3,840.36","3,873.16","3,815.77","3,852.97",,0.75%,1%,57.39,1.49%,,,,,,,,,,,
01-03-2023,"3,824.14",01-03-2023,"3,853.29","3,878.46","3,794.33","3,824.14",,-0.40%,0%,84.13,2.18%,,,,,,,,,,,
